"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"0110","Smith, Christopher","SCS1","AHRC-Chief Executive-1084039","Senior Management Team","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","AHRC","01793 444000","communications@ukri.org","0001","3295496","1.00","150000","154999","","Operational Delivery Profession","South West","","1"
"0111","N/A","SCS1","UKRI-Simpler Better Funding Programme Director-1089203","Operations Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0005","204538","1.00","85000","89999","","Operational Delivery Profession","South West","","1"
"0112","N/A","SCS1","Challenge Director","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0006","380235","1.00","140000","144999","","Operational Delivery Profession","London","","1"
"0113","Stephen, Isobel","SCS2","UKRI-Executive Director Strategy-1086125","Executive Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0001","0","0.58","120000","124999","","Operational Delivery Profession","London","","1"
"0114","Sweeney, David","SCS2","RE-Executive Chair-1077182","Executive Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","RE","01793 444000","communications@ukri.org","0001","3487225","1.00","135000","139999","","Operational Delivery Profession","South West","","1"
"0115","Thomson, Mark","SCS2","STFC-Executive Chair, STFC-1077177","Science and Technology Facilities Council","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0001","122967","1.00","135000","139999","","Operational Delivery Profession","South West","","1"
"0116","N/A","SCS1","UKRI Chief Technology Officer","Operations Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0005","0","1.00","125000","129999","","Digital, Data and Technology Professions","South West","","1"
"0117","N/A","SCS1","Challenge Director - Data to Early Diagnostics & Precision Medicine/Accelerated Detection of Disease","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0131","521352","1.00","125000","129999","","Operational Delivery Profession","South West","","1"
"0118","N/A","SCS1","STFC-Executive Director-1080295","Business and Innovation","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0115","3468099","1.00","95000","99999","","Operational Delivery Profession","North West","","1"
"0119","N/A","SCS1","AHRC-Director-1084040","Senior Management Team","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","AHRC","01793 444000","communications@ukri.org","0110","4307771","1.00","95000","99999","","Operational Delivery Profession","South West","","1"
"0120","N/A","SCS1","EPSRC-Deputy Executive Chair-1084418","Executive Chair and Deputy Executive Chairs","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","EPSRC","01793 444000","communications@ukri.org","0044","1807325","1.00","95000","99999","","Operational Delivery Profession","South West","","1"
"0121","N/A","SCS1","UKRI-Head of Digital Services-1087590","Operations Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0116","2244520","1.00","105000","109999","","Digital, Data and Technology Professions","South West","","1"
"0122","N/A","SCS1","UKRI-General Counsel and Head of Legal-1083246","CFO Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0090","737740","1.00","90000","94999","","Government Legal Profession","South West","","1"
"0123","N/A","SCS1","NERC-HO Director, Research and Skills-1083972","Research and Skills","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","NERC","01793 444000","communications@ukri.org","0129","2788118","1.00","95000","99999","","Operational Delivery Profession","South West","","1"
"0124","Watt, Fiona","SCS2","MRC-Administration Director-1077260","Chief Executive Office","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","MRC","01793 444000","communications@ukri.org","0001","4977182","1.00","170000","174999","","Operational Delivery Profession","London","","1"
"0125","Welham, Melanie","SCS2","BBSRC-Executive Chair-1085025","Executive Chair Office","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","BBSRC","01793 444000","communications@ukri.org","0001","282845","1.00","145000","149999","","Operational Delivery Profession","South West","","1"
"0126","N/A","SCS1","UKRI-Director of HR-1090160","Human Resources Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0029","2058511","1.00","95000","99999","","Human Resources Profession","South West","","1"
"0127","N/A","SCS1","Deputy Director - Connect Portfolio","Chief Technology Officer","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0107","1484534","1.00","90000","94999","","Operational Delivery Profession","Unknown","","1"
"0128","N/A","SCS1","NERC-HO Director Strategic Partnerships-1083513","Strategic Partnerships","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","NERC","01793 444000","communications@ukri.org","0129","1723281","1.00","95000","99999","","Operational Delivery Profession","South West","","1"
"0129","N/A","SCS1","NERC-HO Executive Chair-1083438","Executive Chair Office","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","NERC","01793 444000","communications@ukri.org","0001","1386924","1.00","145000","149999","","Operational Delivery Profession","South West","","1"
"0130","N/A","SCS1","UKRI-Strategic Finance Business Partnering Lead-1083825","CFO Group","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","UKRI Corporate Hub","01793 444000","communications@ukri.org","0035","406671","1.00","85000","89999","","Corporate Finance Profession","South West","","1"
"0131","N/A","SCS1","Director - ISCF Governance","UKRI Programmes","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","Innovate UK","01793 444000","communications@ukri.org","0006","1395014","1.00","95000","99999","","Operational Delivery Profession","Unknown","","1"
"0132","N/A","SCS1","STFC-Director of UK ATC-1052346","UK ATC","Department for Business, Energy & Industrial Strategy","UK Research & Innovation","STFC","01793 444000","communications@ukri.org","0040","4258573","1.00","85000","89999","","Operational Delivery Profession","Scotland","","1"
